"","M","S","D","I"
"B_H3K4me3_ND391",481672,1171,46,57
"B_H3K4me3_ND422",478360,1560,34,80
"B_H3K4me3_ND425",448830,1365,46,55
"B_H3K4me3_SLE1077",461837,2197,76,66
"B_H3K4me3_SLE2239",469380,2121,34,49
"B_H3K4me3_SLE985",467454,2068,37,78
"M_H3K4me3_ND391",457948,1990,47,62
"M_H3K4me3_ND422",462382,1944,40,74
"M_H3K4me3_ND425",464439,1611,42,50
"M_H3K4me3_SLE1077",456437,2893,63,70
"M_H3K4me3_SLE2239",473827,2185,55,88
"M_H3K4me3_SLE985",469691,2767,39,92
"T_H3K4me3_ND391",461496,1427,57,77
"T_H3K4me3_ND422",448978,1919,51,53
"T_H3K4me3_ND425",449367,1818,45,65
"T_H3K4me3_SLE1077",491072,2258,36,70
"T_H3K4me3_SLE2239",455049,1592,40,59
"T_H3K4me3_SLE985",475521,1999,37,80
