"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T","ND410-M","ND422-M","ND430-M","SLE1077-M","SLE1169-M","SLE985-M"
"1",2,3,4,2,2,5,2,0,20,0,3,1,2,7,0,2,2,1
"2",6,20,26,4,1,2,111,46,57,17,12,31,4,10,9,5,9,4
"3",2,1,0,0,0,0,13,5,1,1,0,4,3,0,0,0,0,0
"9",26,16,39,17,20,25,10,7,17,18,39,24,40,41,30,38,34,28
"10",0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"12",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2
"13",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"14",47,49,68,30,33,20,53,44,26,20,79,21,49,50,54,19,31,22
"15",2,2,4,6,14,2,0,1,2,1,1,2,1,0,1,1,2,5
"16",58,71,41,32,77,46,47,42,31,26,105,27,26,60,58,14,84,20
"18",57,53,53,18,20,17,53,31,20,23,37,25,62,69,152,15,10,29
"19",3358,1583,908,1551,963,1576,463,506,246,1454,329,898,10833,3607,3814,6301,8397,7006
"20",47,87,91,18,12,31,102,114,154,35,42,68,36,29,37,15,12,20
"21",15,5,45,5,2,5,21,7,19,4,8,4,4,8,6,1,0,1
"22",118,103,99,93,110,81,62,53,31,61,96,53,119,127,135,71,120,81
"23",825,507,472,466,561,469,581,428,320,288,599,286,564,745,807,347,426,417
"24",0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
"25",160,220,186,133,208,110,180,108,163,103,173,132,190,180,216,175,94,234
"26",0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2
"27",715,1074,459,192,282,217,201,411,309,183,514,203,1944,2806,1078,1161,2609,1389
"28",0,4,0,1,1,0,0,0,0,1,6,0,0,2,0,1,0,0
"29",320,363,377,198,236,130,136,108,158,87,133,101,744,554,684,298,442,267
"30",149,183,92,41,52,44,42,55,41,25,59,30,246,305,296,81,83,87
"31",163,122,200,190,212,149,227,179,117,136,250,146,144,79,208,65,47,66
"32",62,80,121,27,50,33,93,104,84,18,130,34,34,57,64,20,16,12
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",170,156,161,60,78,50,52,42,5,36,83,46,99,176,126,22,39,42
"35",3,2,0,2,1,1,6,1,0,2,5,2,7,3,5,2,1,0
"36",150,112,110,76,93,73,123,108,18,50,195,69,66,107,97,24,16,22
"37",375,353,294,125,136,187,247,206,117,126,142,176,614,881,677,298,395,504
"38",64,60,43,32,66,39,61,57,35,44,87,30,40,47,53,26,14,26
"39",248,212,173,97,80,81,105,149,113,66,109,69,248,373,327,86,77,105
"41",0,0,10,1,0,0,7,2,12,1,1,3,0,1,1,1,0,1
"43",2,4,1,1,3,1,1,5,0,0,1,1,0,0,6,1,0,0
"47",249,256,327,94,139,128,153,146,130,74,114,109,288,342,400,101,138,160
"48",68,59,66,25,39,21,74,43,31,26,52,31,67,74,78,20,24,15
"49",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"50",132,114,91,90,130,98,63,73,19,73,128,96,157,235,185,92,92,123
"51",199,257,561,71,115,56,154,116,119,63,169,54,267,240,311,91,221,106
"52",155,155,172,245,262,257,104,74,13,174,395,194,144,182,181,122,117,143
"53",10,13,9,8,9,7,30,10,6,10,30,10,11,16,26,16,16,24
"54",17,8,23,29,38,23,2,2,2,7,3,3,24,32,14,34,31,11
"55",98,145,47,13,7,4,12,32,10,15,1,22,234,363,494,93,102,226
"56",1,3,1,0,1,0,1,4,3,1,1,0,0,1,1,2,0,0
"58",1,2,0,1,0,0,4,3,0,1,0,0,0,1,5,0,0,0
"59",6,5,15,0,6,2,6,3,8,2,5,7,19,13,34,3,7,10
"60",11673,16699,18033,5079,4564,4280,2377,2791,4384,4167,3598,5135,23997,30325,26829,18714,17071,26249
"70",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
